Case,Combination_id,Event_date,Preloaded_cutoff,Ductile_lead_cutoff_days,Onset_fraction,Nearest_observation_date,Pi_at_event,Pi_final,Pct_of_max,First_crossing_date,Lead_days,Label,Baseline_label,Retains_baseline_label
2008 Financial,79,2008-09-15,0.85,400,0.15,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-08-22,390,Brittle,Ductile,No
2008 Financial,80,2008-09-15,0.85,400,0.2,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-09-20,361,Brittle,Ductile,No
2008 Financial,81,2008-09-15,0.9,200,0.05,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-04-25,509,Ductile,Ductile,Yes
2008 Financial,82,2008-09-15,0.9,200,0.1,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-08-16,396,Ductile,Ductile,Yes
2008 Financial,83,2008-09-15,0.9,200,0.15,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-08-22,390,Ductile,Ductile,Yes
2008 Financial,84,2008-09-15,0.9,200,0.2,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-09-20,361,Ductile,Ductile,Yes
2008 Financial,85,2008-09-15,0.9,250,0.05,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-04-25,509,Ductile,Ductile,Yes
2008 Financial,86,2008-09-15,0.9,250,0.1,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-08-16,396,Ductile,Ductile,Yes
2008 Financial,87,2008-09-15,0.9,250,0.15,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-08-22,390,Ductile,Ductile,Yes
2008 Financial,88,2008-09-15,0.9,250,0.2,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-09-20,361,Ductile,Ductile,Yes
2008 Financial,89,2008-09-15,0.9,300,0.05,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-04-25,509,Ductile,Ductile,Yes
2008 Financial,90,2008-09-15,0.9,300,0.1,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-08-16,396,Ductile,Ductile,Yes
2008 Financial,91,2008-09-15,0.9,300,0.15,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-08-22,390,Ductile,Ductile,Yes
2008 Financial,92,2008-09-15,0.9,300,0.2,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-09-20,361,Ductile,Ductile,Yes
